police_beat,street_name,street_type,injured,killed,full_name,year
124,CAM DEL ORO,nan,0,0,CAM DEL ORO ,2017
325,ROYAL GORGE,DR,0,0,ROYAL GORGE DR,2017
322,CRAWFORD,ST,0,0,CRAWFORD ST,2017
935,VALERIO,TRL,0,0,VALERIO TRL,2017
521,11TH,AVE,0,0,11TH AVE,2017
524,A,ST,0,0,A ST,2017
437,RAMFOS,PL,0,0,RAMFOS PL,2017
935,DE LA VALLE,nan,0,0,DE LA VALLE ,2017
115,SYDNEY,CT,0,0,SYDNEY CT,2017
122,HORNBLEND,ST,0,0,HORNBLEND ST,2017
122,EMERALD,ST,0,0,EMERALD ST,2017
434,IMPERIAL,AVE,0,0,IMPERIAL AVE,2017
813,LAUREL,ST,0,0,LAUREL ST,2017
242,BLACK MTN,RD,0,0,BLACK MTN RD,2017
823,UNIVERSITY,AVE,0,0,UNIVERSITY AVE,2017
243,MIRAMAR,RD,1,0,MIRAMAR RD,2017
123,INGRAHAM,ST,1,0,INGRAHAM ST,2017
123,MISSION BAY,DR,1,0,MISSION BAY DR,2017
813,EL CAJON,BLVD,0,0,EL CAJON BLVD,2017
111,ASHFORD,ST,0,0,ASHFORD ST,2017
122,GARNET,AVE,1,0,GARNET AVE,2017
832,EL CAJON,BLVD,1,0,EL CAJON BLVD,2017
512,IMPERIAL,AVE,0,0,IMPERIAL AVE,2017
315,MISSION CENTER,RD,1,0,MISSION CENTER RD,2017
321,SAN DIEGO MISSION,RD,0,0,SAN DIEGO MISSION RD,2017
611,SPORTS ARENA,BLVD,4,0,SPORTS ARENA BLVD,2017
627,WASHINGTON,ST,0,0,WASHINGTON ST,2017
822,EL CAJON,BLVD,2,0,EL CAJON BLVD,2017
524,08TH,AVE,1,0,08TH AVE,2017
841,COLLEGE,AVE,3,0,COLLEGE AVE,2017
837,39TH,ST,0,0,39TH ST,2017
323,COLLEGE,AVE,1,0,COLLEGE AVE,2017
621,OSLER,ST,0,0,OSLER ST,2017
541,PARK,BLVD,0,0,PARK BLVD,2017
451,55TH,ST,0,0,55TH ST,2017
712,CENTER,ST,0,0,CENTER ST,2017
231,TED WILLIAMS,PARKWAY,1,0,TED WILLIAMS PARKWAY,2017
627,ROBINSON,AVE,0,0,ROBINSON AVE,2017
722,PALM,AVE,3,0,PALM AVE,2017
232,CONFERENCE,WAY,1,0,CONFERENCE WAY,2017
242,HILLERY,DR,1,0,HILLERY DR,2017
327,MONTEZUMA,RD,1,0,MONTEZUMA RD,2017
115,GENESEE,CV,0,0,GENESEE CV,2017
