report_id,date_time,police_beat,street_name,street_type,injured,killed,hit_run_lvl,full_name
170166,2017-01-01 00:01:00,124,CAM DEL ORO,,0,0,MISDEMEANOR,CAM DEL ORO 
170218,2017-01-01 00:01:00,325,ROYAL GORGE,DR,0,0,MISDEMEANOR,ROYAL GORGE DR
170101,2017-01-01 00:01:00,322,CRAWFORD,ST,0,0,MISDEMEANOR,CRAWFORD ST
170082,2017-01-01 00:01:00,935,VALERIO,TRL,0,0,MISDEMEANOR,VALERIO TRL
170097,2017-01-01 01:00:00,521,11TH,AVE,0,0,MISDEMEANOR,11TH AVE
170220,2017-01-01 01:00:00,524,A,ST,0,0,MISDEMEANOR,A ST
170153,2017-01-01 01:18:00,437,RAMFOS,PL,0,0,nan,RAMFOS PL
170035,2017-01-01 01:53:00,935,DE LA VALLE,,0,0,MISDEMEANOR,DE LA VALLE 
170044,2017-01-01 01:58:00,115,SYDNEY,CT,0,0,MISDEMEANOR,SYDNEY CT
170042,2017-01-01 02:00:00,122,HORNBLEND,ST,0,0,MISDEMEANOR,HORNBLEND ST
170041,2017-01-01 02:00:00,122,EMERALD,ST,0,0,MISDEMEANOR,EMERALD ST
170139,2017-01-01 02:03:00,434,IMPERIAL,AVE,0,0,nan,IMPERIAL AVE
170090,2017-01-01 04:10:00,813,LAUREL,ST,0,0,MISDEMEANOR,LAUREL ST
170073,2017-01-01 04:43:00,242,BLACK MTN,RD,0,0,nan,BLACK MTN RD
170217,2017-01-01 05:26:00,823,UNIVERSITY,AVE,0,0,MISDEMEANOR,UNIVERSITY AVE
170074,2017-01-01 06:56:00,243,MIRAMAR,RD,1,0,nan,MIRAMAR RD
170118,2017-01-01 11:25:00,123,INGRAHAM,ST,1,0,nan,INGRAHAM ST
170067,2017-01-01 11:37:00,123,MISSION BAY,DR,1,0,nan,MISSION BAY DR
170316,2017-01-01 12:30:00,813,EL CAJON,BLVD,0,0,MISDEMEANOR,EL CAJON BLVD
170045,2017-01-01 13:00:00,111,ASHFORD,ST,0,0,MISDEMEANOR,ASHFORD ST
170068,2017-01-01 13:03:00,122,GARNET,AVE,1,0,nan,GARNET AVE
170251,2017-01-01 13:16:00,832,EL CAJON,BLVD,1,0,nan,EL CAJON BLVD
170096,2017-01-01 15:30:00,512,IMPERIAL,AVE,0,0,FELONY,IMPERIAL AVE
170078,2017-01-01 15:30:00,315,MISSION CENTER,RD,1,0,nan,MISSION CENTER RD
170051,2017-01-01 16:40:00,321,SAN DIEGO MISSION,RD,0,0,MISDEMEANOR,SAN DIEGO MISSION RD
170257,2017-01-01 18:07:00,611,SPORTS ARENA,BLVD,4,0,nan,SPORTS ARENA BLVD
170278,2017-01-01 19:30:00,627,WASHINGTON,ST,0,0,nan,WASHINGTON ST
170146,2017-01-01 19:45:00,822,EL CAJON,BLVD,2,0,nan,EL CAJON BLVD
170127,2017-01-01 20:36:00,524,08TH,AVE,1,0,nan,08TH AVE
170122,2017-01-01 22:15:00,841,COLLEGE,AVE,3,0,nan,COLLEGE AVE
170158,2017-01-02 00:01:00,837,39TH,ST,0,0,MISDEMEANOR,39TH ST
170149,2017-01-02 04:50:00,323,COLLEGE,AVE,1,0,nan,COLLEGE AVE
170049,2017-01-02 04:52:00,621,OSLER,ST,0,0,MISDEMEANOR,OSLER ST
170036,2017-01-02 07:00:00,541,PARK,BLVD,0,0,MISDEMEANOR,PARK BLVD
170105,2017-01-02 08:14:00,451,55TH,ST,0,0,MISDEMEANOR,55TH ST
170098,2017-01-02 08:20:00,712,CENTER,ST,0,0,MISDEMEANOR,CENTER ST
170261,2017-01-02 11:10:00,231,TED WILLIAMS,PARKWAY,1,0,nan,TED WILLIAMS PARKWAY
170046,2017-01-02 14:10:00,627,ROBINSON,AVE,0,0,MISDEMEANOR,ROBINSON AVE
170129,2017-01-02 14:10:00,722,PALM,AVE,3,0,nan,PALM AVE
170057,2017-01-02 14:25:00,232,CONFERENCE,WAY,1,0,MISDEMEANOR,CONFERENCE WAY
170077,2017-01-02 15:00:00,242,HILLERY,DR,1,0,nan,HILLERY DR
170135,2017-01-02 15:41:00,327,MONTEZUMA,RD,1,0,nan,MONTEZUMA RD
170162,2017-01-02 16:00:00,115,GENESEE,CV,0,0,MISDEMEANOR,GENESEE CV
171537,2017-01-02 18:25:00,242,MIRA MESA,BLVD,0,1,nan,MIRA MESA BLVD
170333,2017-01-02 18:26:00,242,MERCY,RD,1,0,nan,MERCY RD
170232,2017-01-02 18:45:00,234,RANCHO BERNARDO,RD,0,0,MISDEMEANOR,RANCHO BERNARDO RD
170271,2017-01-02 18:45:00,621,LINDA VISTA,RD,0,0,MISDEMEANOR,LINDA VISTA RD
170108,2017-01-03 00:01:00,937,SAN DIEGUITO,RD,0,0,MISDEMEANOR,SAN DIEGUITO RD
170103,2017-01-03 00:01:00,115,TOWNE CENTRE,DR,0,0,MISDEMEANOR,TOWNE CENTRE DR
170092,2017-01-03 00:02:00,813,LINCOLN,AVE,0,0,MISDEMEANOR,LINCOLN AVE
170112,2017-01-03 00:02:00,838,LINCOLN,AVE,1,0,MISDEMEANOR,LINCOLN AVE
170079,2017-01-03 03:20:00,327,ALVARADO,RD,1,0,nan,ALVARADO RD
170047,2017-01-03 04:30:00,242,BLACK MTN,RD,0,0,MISDEMEANOR,BLACK MTN RD
170439,2017-01-03 07:35:00,111,BALBOA,AVE,0,0,nan,BALBOA AVE
170131,2017-01-03 09:00:00,315,RIVER RUN,DR,1,0,nan,RIVER RUN DR
170130,2017-01-03 09:26:00,313,CLAIREMONT MESA,BLVD,2,0,nan,CLAIREMONT MESA BLVD
170134,2017-01-03 10:30:00,934,DEL MAR HEIGHTS,RD,1,0,nan,DEL MAR HEIGHTS RD
170110,2017-01-03 11:39:00,515,K,ST,0,0,MISDEMEANOR,K ST
170178,2017-01-03 12:30:00,934,VALLEY CENTRE,DR,0,0,MISDEMEANOR,VALLEY CENTRE DR
170102,2017-01-03 13:40:00,243,ACTIVITY,RD,0,0,MISDEMEANOR,ACTIVITY RD
170225,2017-01-03 13:49:00,315,RIO SAN DIEGO,DR,0,0,MISDEMEANOR,RIO SAN DIEGO DR
